serial_no,town_village,toponym_en,nechropoleis_tombs,chronology,average_points,x,y,agriculture_100m,archaeological_100m,infrastructure_100m,urban_100m,not_classified_100m,Points_100m,agriculture_250m,archaeological_250m,infrastructure_250m,urban_250m,not_classified_250m,Points_250m,agriculture_500m,archaeological_500m,infrastructure_500m,urban_500m,not_classified_500m,Points_500m
511,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
514,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
515,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
516,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
517,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
518,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
519,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
520,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
521,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
522,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
523,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
533,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
537,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
542,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
549,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
582,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
584,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
615,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
649,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
650,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
651,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
652,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
663,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
680,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
693,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
701,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
704,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
708,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
714,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
715,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
718,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
729,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
735,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
736,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
737,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
738,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
739,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
740,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
756,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
771,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
790,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
791,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
792,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
793,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
794,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
795,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
796,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
797,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
798,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
799,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
800,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
801,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
802,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
803,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
804,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
805,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
806,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
807,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
883,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
884,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
885,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
886,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
887,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
888,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
889,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
890,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
891,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
898,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
900,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
904,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
905,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
913,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
914,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
915,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
916,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
917,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
918,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
921,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
930,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
706,Agios Georgios,Loutron,N,R,51.94,32.63562302,34.76778006,0.00%,0.00%,14.49%,5.30%,80.20%,44.90,8.09%,0.00%,20.46%,6.49%,64.96%,68.49,4.88%,0.00%,14.85%,2.62%,77.66%,42.42
328,Larnaka,Perivolia,N,H,261.52,33.62345969,34.92828462,0.00%,0.00%,31.93%,68.07%,0.00%,268.07,0.00%,0.00%,41.53%,58.47%,0.00%,258.47,0.00%,0.00%,41.98%,58.02%,0.00%,258.02
337,Pergamos,Geneokopetra,N,H,38.70,33.70275864,35.05550707,52.60%,0.00%,0.00%,0.00%,47.40%,52.60,29.67%,0.00%,2.28%,0.00%,68.05%,34.24,21.31%,0.00%,3.97%,0.00%,74.71%,29.26
334,Mosfiloti,Spilioi,N,H,13.74,33.43794695,34.97773252,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.97%,0.00%,9.84%,0.00%,89.19%,20.65,1.06%,0.00%,9.24%,0.34%,89.36%,20.56
350,Xylotymbou,Laksia Ayiou Vasileiou,N,H,104.21,33.73720243,35.02034032,13.69%,0.00%,19.56%,0.00%,66.75%,52.81,38.28%,0.00%,16.72%,12.54%,32.46%,109.34,43.62%,0.00%,18.22%,23.47%,14.69%,150.47
345,Xylotymbou,Ayia Marina,T,H,108.07,33.73122351,35.01922678,65.93%,0.00%,21.78%,0.00%,12.29%,109.48,69.73%,0.00%,12.63%,4.22%,13.42%,107.66,73.11%,0.00%,11.31%,3.78%,11.80%,107.08
346,Xylotymbou,Ayia Marina,T,H,108.07,33.73122351,35.01922678,65.93%,0.00%,21.78%,0.00%,12.29%,109.48,69.73%,0.00%,12.63%,4.22%,13.42%,107.66,73.11%,0.00%,11.31%,3.78%,11.80%,107.08
347,Xylotymbou,Ayia Marina,T,H,108.07,33.73122351,35.01922678,65.93%,0.00%,21.78%,0.00%,12.29%,109.48,69.73%,0.00%,12.63%,4.22%,13.42%,107.66,73.11%,0.00%,11.31%,3.78%,11.80%,107.08
348,Xylotymbou,Ayia Marina,T,H,108.07,33.73122351,35.01922678,65.93%,0.00%,21.78%,0.00%,12.29%,109.48,69.73%,0.00%,12.63%,4.22%,13.42%,107.66,73.11%,0.00%,11.31%,3.78%,11.80%,107.08
340,Pyla,Ampelia tou Hotzia,N,H,82.09,33.7183851,35.00443787,72.82%,0.00%,9.49%,0.49%,17.20%,93.27,56.24%,0.00%,11.30%,0.25%,32.21%,79.58,52.62%,0.00%,10.21%,0.12%,37.05%,73.41
281,Aradippou,Kameni mantra,Ts,H,127.74,33.60688218,34.95199704,86.48%,0.00%,13.52%,0.00%,0.00%,113.52,72.14%,0.00%,19.96%,7.49%,0.41%,134.53,61.49%,0.00%,18.95%,11.93%,7.63%,135.18
287,Kalavassos,Plakes,N,R,250.42,33.27692729,34.75206632,0.00%,0.00%,5.45%,94.55%,0.00%,294.55,4.57%,0.00%,6.93%,75.66%,12.84%,245.41,14.17%,0.00%,6.19%,61.59%,18.05%,211.31
336,Oroklini,Lakkos tis Elias,N,H-R,113.11,33.64035593,34.97485122,27.38%,0.00%,34.52%,0.03%,38.06%,96.51,40.63%,0.00%,21.97%,12.48%,24.92%,122.01,46.14%,0.00%,17.31%,13.35%,23.20%,120.81
292,Kofinou,Kastres,N,H-R,61.24,33.40374986,34.84094108,13.03%,0.00%,23.62%,0.00%,63.35%,60.27,37.58%,0.00%,10.26%,0.70%,51.47%,60.18,39.74%,0.00%,11.10%,0.44%,48.72%,63.26
293,Kofinou,Achnari,N,R,76.24,33.37575833,34.83220472,100.00%,0.00%,0.00%,0.00%,0.00%,100.00,63.34%,0.00%,0.00%,0.00%,36.66%,63.34,53.95%,0.00%,5.71%,0.00%,40.33%,65.38
284,Kalavassos,Kafkalies,N,H,66.98,33.31516606,34.74076105,64.95%,0.00%,0.00%,0.00%,35.05%,64.95,59.46%,0.00%,2.12%,0.09%,38.34%,63.95,55.21%,0.00%,8.21%,0.13%,36.45%,72.03
285,Kalavassos,Kafkalies,N,H,66.98,33.31516606,34.74076105,64.95%,0.00%,0.00%,0.00%,35.05%,64.95,59.46%,0.00%,2.12%,0.09%,38.34%,63.95,55.21%,0.00%,8.21%,0.13%,36.45%,72.03
275,Agios Theodoros,Alonia ton Plakon,Ts,R,53.33,33.43401659,34.77515037,40.30%,0.00%,0.00%,0.00%,59.70%,40.30,54.07%,0.00%,4.62%,0.05%,41.26%,63.46,42.86%,0.00%,6.66%,0.02%,50.46%,56.23
289,Klavdia,Stazousa,N,R,96.83,33.48832103,34.90080957,95.27%,0.00%,0.00%,0.00%,4.73%,95.27,86.47%,0.00%,7.35%,0.01%,6.17%,101.19,78.93%,0.00%,7.47%,0.05%,13.54%,94.03
276,Anafotia,Kokkines,N,R,109.40,33.46874627,34.82785778,0.00%,0.00%,4.44%,37.58%,57.98%,121.62,0.00%,0.00%,14.04%,26.35%,59.62%,107.11,1.90%,0.00%,13.11%,23.78%,61.20%,99.48
279,Aradippou,Koukoulas,T,H-R,213.49,33.61058961,34.94133919,0.00%,0.00%,42.01%,57.99%,0.00%,257.99,0.87%,0.00%,34.57%,45.13%,19.43%,205.39,10.39%,0.00%,30.17%,35.45%,23.99%,177.08
280,Aradippou,Koukoulas,T,H-R,246.26,33.60706962,34.9364973,0.00%,0.00%,32.43%,67.57%,0.00%,267.57,0.10%,0.00%,39.50%,53.63%,6.77%,239.98,0.10%,0.00%,39.05%,51.01%,9.85%,231.22
283,Dromolaksia,Vyzakia,N,H-R,103.30,33.60181334,34.88749484,100.00%,0.00%,0.00%,0.00%,0.00%,100.00,95.94%,0.00%,4.05%,0.01%,0.00%,104.06,94.16%,0.00%,5.83%,0.01%,0.00%,105.85
335,Ormideia,Ampeli,T,H,224.72,33.77859444,34.99040247,0.02%,0.00%,46.45%,53.53%,0.00%,253.51,17.31%,0.00%,30.28%,49.28%,3.13%,225.70,29.68%,0.00%,24.23%,38.94%,7.15%,194.96
407,Dymes,Leivadi,T,R,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
504,Parekklisia (Kellaki),Laksia tis Arkosytzias,N,H,172.37,33.14797012,34.78108695,37.30%,0.00%,14.42%,40.64%,7.64%,188.06,48.05%,0.00%,10.89%,32.54%,8.52%,167.46,55.76%,0.00%,13.22%,26.46%,4.56%,161.58
931,Prodromi,Kambos,N,H,87.07,32.41106931,35.03968514,70.26%,0.00%,18.95%,0.22%,10.56%,108.84,34.64%,0.00%,18.25%,2.75%,44.35%,79.40,36.19%,0.00%,14.92%,2.31%,46.57%,72.97
342,Tochni,Laksia tou Chani,N,H-R,67.50,33.3099081,34.79398124,11.88%,0.00%,17.69%,0.00%,70.42%,47.27,57.53%,0.00%,9.41%,0.00%,33.06%,76.36,59.19%,0.00%,9.71%,0.08%,31.02%,78.86
459,Kolossi,Kafkalla,N,R,109.43,32.94197389,34.66946631,69.01%,0.00%,8.72%,0.00%,22.27%,86.45,35.48%,0.00%,14.66%,18.06%,31.81%,118.96,22.60%,0.00%,17.89%,21.50%,38.01%,122.88
498,Monagri,Petaliotis Mia,N,R,7.13,32.90529588,34.78788869,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,5.69%,0.00%,94.31%,11.37,0.00%,0.00%,5.01%,0.00%,94.99%,10.03
531,Sylikou,Laona,N,R,14.69,32.89812201,34.83917319,0.00%,0.00%,2.96%,0.00%,97.04%,5.91,0.00%,0.00%,8.27%,0.00%,91.73%,16.55,1.13%,0.00%,10.24%,0.00%,88.63%,21.61
358,Agios Theodoros (Soleas),Kampos,N,R,108.26,32.9323233,35.03291723,89.78%,0.00%,10.22%,0.00%,0.00%,110.22,92.79%,0.00%,7.21%,0.00%,0.00%,107.21,92.64%,0.00%,7.36%,0.00%,0.00%,107.36
399,Anogira,Apikreni,N,H-R,100.68,32.73521903,34.72290925,100.00%,0.00%,0.00%,0.00%,0.00%,100.00,95.57%,0.00%,4.19%,0.00%,0.24%,103.96,92.66%,0.00%,2.71%,0.00%,4.63%,98.08
495,Limnatis,Mia Kremmos,N,R,28.06,32.93885746,34.78226522,0.00%,0.00%,10.69%,0.00%,89.31%,21.39,3.02%,0.00%,13.72%,0.00%,83.25%,30.47,12.03%,0.00%,10.15%,0.00%,77.82%,32.33
530,Sykopetra,Kolympia,T,R,120.24,33.10823299,34.87996066,88.51%,0.00%,11.49%,0.00%,0.00%,111.49,79.57%,0.00%,12.71%,7.72%,0.00%,128.15,84.81%,0.00%,9.28%,5.90%,0.00%,121.09
509,"Platres, Kato",Syrkatis,N,R,45.74,32.81400051,34.87038474,0.00%,0.00%,7.91%,0.08%,92.01%,16.05,36.61%,0.00%,9.80%,0.08%,53.50%,56.46,49.71%,0.00%,7.38%,0.08%,42.83%,64.72
356,Agios Konstantinos,Miliaris-Vikla,N,R,109.20,33.083702,34.874114,87.62%,0.00%,12.38%,0.00%,0.00%,112.38,91.19%,0.00%,8.81%,0.00%,0.00%,108.81,93.59%,0.00%,6.41%,0.00%,0.00%,106.41
341,Skarinou,Skopelos,T,H-R,76.24,33.37396062,34.81642981,85.02%,0.00%,7.96%,0.65%,6.37%,102.89,39.66%,0.00%,8.13%,1.69%,50.52%,60.98,40.41%,0.00%,8.60%,2.41%,48.58%,64.84
